"Sens Factor =-2.434dB, SERNO: 0000000"
"Auto-generated 90-degree calibration file"
10.054	-4.2955
10.179	-4.1368
10.306	-3.9812
10.434	-3.8289
10.564	-3.6797
10.696	-3.5337
10.829	-3.3907
10.964	-3.2508
11.100	-3.1139
11.238	-2.9801
11.378	-2.8492
11.520	-2.7212
11.663	-2.5961
11.809	-2.4740
11.956	-2.3546
12.104	-2.2380
12.255	-2.1242
12.408	-2.0132
12.562	-1.9049
12.718	-1.7992
12.877	-1.6962
13.037	-1.5958
13.199	-1.4980
13.364	-1.4027
13.530	-1.3099
13.698	-1.2196
13.869	-1.1318
14.042	-1.0464
14.216	-0.9634
14.393	-0.8827
14.573	-0.8043
14.754	-0.7283
14.938	-0.6545
15.124	-0.5829
15.312	-0.5135
15.503	-0.4463
15.696	-0.3812
15.891	-0.3182
16.089	-0.2572
16.289	-0.1983
16.492	-0.1414
16.697	-0.0864
16.905	-0.0334
17.115	0.0177
17.328	0.0669
17.544	0.1143
17.763	0.1599
17.984	0.2038
18.208	0.2458
18.434	0.2862
18.664	0.3249
18.896	0.3620
19.131	0.3974
19.369	0.4313
19.611	0.4636
19.855	0.4944
20.102	0.5237
20.352	0.5516
20.605	0.5781
20.862	0.6031
21.122	0.6268
21.385	0.6492
21.651	0.6703
21.920	0.6902
22.193	0.7088
22.470	0.7262
22.749	0.7425
23.032	0.7576
23.319	0.7716
23.609	0.7846
23.903	0.7965
24.201	0.8075
24.502	0.8175
24.807	0.8265
25.116	0.8346
25.429	0.8419
25.745	0.8483
26.066	0.8540
26.390	0.8588
26.719	0.8629
27.051	0.8663
27.388	0.8691
27.729	0.8711
28.074	0.8726
28.424	0.8735
28.778	0.8738
29.136	0.8736
29.499	0.8730
29.866	0.8719
30.238	0.8703
30.614	0.8684
30.995	0.8661
31.381	0.8635
31.772	0.8606
32.167	0.8575
32.568	0.8541
32.973	0.8506
33.383	0.8468
33.799	0.8430
34.220	0.8390
34.646	0.8350
35.077	0.8310
35.514	0.8276
35.956	0.8237
36.403	0.8195
36.857	0.8151
37.315	0.8107
37.780	0.8065
38.250	0.8026
38.726	0.7990
39.209	0.7962
39.697	0.7942
40.191	0.7934
40.691	0.7937
41.198	0.7952
41.711	0.7975
42.230	0.8003
42.756	0.8033
43.288	0.8060
43.827	0.8082
44.372	0.8097
44.925	0.8103
45.484	0.8098
46.050	0.8079
46.623	0.8045
47.204	0.7992
47.791	0.7918
48.386	0.7821
48.989	0.7700
49.599	0.7558
50.216	0.7395
50.841	0.7217
51.474	0.7028
52.115	0.6838
52.764	0.6655
53.420	0.6486
54.085	0.6340
54.759	0.6219
55.440	0.6124
56.131	0.6055
56.829	0.6010
57.537	0.5985
58.253	0.5978
58.978	0.5987
59.712	0.6009
60.456	0.6040
61.208	0.6077
61.970	0.6115
62.742	0.6149
63.523	0.6176
64.314	0.6191
65.114	0.6192
65.925	0.6176
66.745	0.6142
67.576	0.6090
68.418	0.6023
69.269	0.5944
70.132	0.5859
71.005	0.5773
71.889	0.5689
72.784	0.5610
73.690	0.5538
74.607	0.5477
75.536	0.5428
76.476	0.5393
77.428	0.5375
78.392	0.5376
79.368	0.5398
80.356	0.5443
81.356	0.5508
82.369	0.5592
83.394	0.5691
84.433	0.5800
85.484	0.5913
86.548	0.6022
87.625	0.6118
88.716	0.6197
89.820	0.6252
90.939	0.6281
92.071	0.6284
93.217	0.6263
94.377	0.6220
95.552	0.6159
96.742	0.6080
97.946	0.5987
99.165	0.5881
100.400	0.5763
101.650	0.5637
102.915	0.5506
104.196	0.5374
105.493	0.5245
106.806	0.5122
108.136	0.5007
109.482	0.4902
110.845	0.4810
112.225	0.4729
113.622	0.4659
115.037	0.4598
116.469	0.4543
117.919	0.4490
119.386	0.4439
120.873	0.4386
122.377	0.4332
123.901	0.4279
125.443	0.4228
127.005	0.4180
128.586	0.4137
130.187	0.4098
131.807	0.4063
133.448	0.4030
135.109	0.3999
136.791	0.3970
138.494	0.3942
140.218	0.3916
141.964	0.3893
143.731	0.3874
145.520	0.3859
147.332	0.3849
149.166	0.3844
151.023	0.3844
152.903	0.3848
154.806	0.3851
156.734	0.3854
158.685	0.3853
160.660	0.3847
162.660	0.3835
164.685	0.3821
166.735	0.3804
168.811	0.3787
170.912	0.3772
173.040	0.3757
175.194	0.3742
177.375	0.3726
179.583	0.3711
181.819	0.3695
184.082	0.3678
186.374	0.3660
188.694	0.3641
191.043	0.3620
193.421	0.3599
195.829	0.3576
198.267	0.3551
200.735	0.3527
203.234	0.3501
205.764	0.3473
208.325	0.3438
210.919	0.3395
213.544	0.3345
216.203	0.3288
218.894	0.3227
221.619	0.3162
224.378	0.3095
227.171	0.3027
229.999	0.2958
232.862	0.2888
235.761	0.2817
238.696	0.2745
241.668	0.2671
244.676	0.2595
247.722	0.2516
250.806	0.2432
253.928	0.2344
257.089	0.2252
260.290	0.2157
263.530	0.2065
266.810	0.1978
270.132	0.1897
273.495	0.1820
276.899	0.1746
280.346	0.1674
283.836	0.1601
287.370	0.1530
290.947	0.1460
294.569	0.1392
298.236	0.1326
301.949	0.1263
305.708	0.1201
309.513	0.1141
313.366	0.1082
317.267	0.1025
321.217	0.0970
325.216	0.0920
329.264	0.0874
333.363	0.0832
337.513	0.0794
341.715	0.0761
345.969	0.0733
350.276	0.0709
354.636	0.0685
359.051	0.0655
363.521	0.0615
368.046	0.0563
372.628	0.0496
377.266	0.0415
381.963	0.0320
386.718	0.0216
391.532	0.0097
396.406	-0.0034
401.341	-0.0172
406.337	-0.0310
411.395	-0.0443
416.517	-0.0565
421.702	-0.0676
426.951	-0.0775
432.266	-0.0864
437.648	-0.0947
443.096	-0.1026
448.612	-0.1102
454.196	-0.1177
459.851	-0.1249
465.575	-0.1321
471.371	-0.1392
477.239	-0.1462
483.180	-0.1532
489.195	-0.1602
495.285	-0.1673
501.450	-0.1743
507.693	-0.1813
514.013	-0.1883
520.412	-0.1954
526.890	-0.2024
533.449	-0.2094
540.090	-0.2165
546.814	-0.2236
553.621	-0.2308
560.513	-0.2381
567.490	-0.2455
574.555	-0.2530
581.707	-0.2604
588.949	-0.2674
596.281	-0.2736
603.703	-0.2787
611.219	-0.2824
618.828	-0.2846
626.531	-0.2853
634.331	-0.2846
642.228	-0.2827
650.222	-0.2796
658.317	-0.2749
666.512	-0.2691
674.809	-0.2628
683.210	-0.2562
691.715	-0.2497
700.326	-0.2435
709.044	-0.2374
717.871	-0.2313
726.807	-0.2253
735.855	-0.2194
745.016	-0.2136
754.290	-0.2078
763.680	-0.2022
773.187	-0.1970
782.812	-0.1918
792.557	-0.1866
